,MAE,MSE,RMSE,R2,set,modelo
0,221.32800650656816,95906.01238094743,309.68695868723216,0.6188290574397788,test,Cas_Cod_Random_Forest_2 
1,197.58271503242023,73184.81087457426,270.5269134015584,0.7132572643873043,train,Cas_Cod_Random_Forest_2 
2,219.81030050191407,92731.27827142664,304.5181082816367,0.6314467897681488,test,Cas_Cod_Random_Forest_1 
3,192.09189301747503,69232.45245838568,263.120604397272,0.7287428556027009,train,Cas_Cod_Random_Forest_1 
4,0.5487117060043935,0.5743800324402594,0.7578786396516657,0.4180860017426442,test,Cas_enc_est_3_Decision tree II
5,0.4941523654220259,0.4664625781851784,0.6829806572555173,0.5341202900501845,train,Cas_enc_est_3_Decision tree II
6,331.370728572425,210510.8900841919,458.8146576605764,0.163340937647794,test,Cas_enc_2_Decision tree II
7,271.6969662267351,137529.54205881568,370.8497567193697,0.4611505222703698,train,Cas_enc_2_Decision tree II
8,248.71018014968192,115775.56208629857,340.258081588518,0.5398590867214422,test,Cas_enc_Decision tree II
9,253.30284385413933,120989.59452097266,347.83558547246525,0.5259550868680668,train,Cas_enc_Decision tree II
