,predictor,importancia
1,atemp,0.3269169961004467
0,seasons,0.12894691364431465
20,weekday_numweekday_num_0,0.10386847171218472
2,hum,0.06831870730371693
29,weathersitweathersit_1,0.04491098904657376
6,mnthmnth_1,0.04372804497841229
3,windspeed,0.042436154534088395
21,weekday_numweekday_num_1,0.030498061019299173
7,mnthmnth_2,0.025340034127460255
4,yryr_0,0.024421468429540245
5,yryr_1,0.022061567621029943
17,mnthmnth_12,0.015398549075906185
30,weathersitweathersit_2,0.014403200432089544
12,mnthmnth_7,0.012156301057735162
23,weekday_numweekday_num_3,0.010767913358994274
13,mnthmnth_8,0.010421431559899066
31,weathersitweathersit_3,0.009738556763205538
16,mnthmnth_11,0.009542172180098639
24,weekday_numweekday_num_4,0.007655557252660597
28,workingday_numworkingday_num_1,0.007424018759621032
27,workingday_numworkingday_num_0,0.006802380150116211
22,weekday_numweekday_num_2,0.005400863447091191
26,weekday_numweekday_num_6,0.004799504524747861
8,mnthmnth_3,0.004057123674795366
15,mnthmnth_10,0.0037391733180482194
25,weekday_numweekday_num_5,0.003568964205895755
9,mnthmnth_4,0.0033802297476868293
11,mnthmnth_6,0.003227041044307042
10,mnthmnth_5,0.002961908233217744
14,mnthmnth_9,0.0011676585313237277
18,holiday_numholiday_num_0,0.0010928695935761594
19,holiday_numholiday_num_1,0.0008471745719168991
